x,y,z
177865.13,526578.48,5.02
177865.13,526488.48,4.88
177865.13,526398.48,4.74
177865.13,526308.48,4.6
177865.13,526218.48,5.02
177865.13,526128.48,7.62
177865.13,526038.48,11.9
177865.13,525948.48,13.93
177865.13,525858.48,11.47
177865.13,525768.48,7.78
177865.13,525678.48,6.78
177865.13,525588.48,6.8
177865.13,525498.48,6.81
177865.13,525408.48,6.83
177865.13,525318.48,6.92
177865.13,525228.48,6.81
177865.13,525138.48,6.45
177865.13,525048.48,6.11
177865.13,524958.48,6.15
177865.13,524868.48,6.54
177865.13,524778.48,6.38
177865.13,524688.48,5.45
177865.13,524598.48,4.58
177865.13,524508.48,4.27
177865.13,524418.48,4.54
177865.13,524328.48,5.04
177865.13,524238.48,5.29
177865.13,524148.48,5.14
177865.13,524058.48,4.91
177865.13,523968.48,5.69
177865.13,523878.48,8.88
177865.13,523788.48,12.32
177865.13,523698.48,12.47
177865.13,523608.48,11.15
177865.13,523518.48,10.87
177865.13,523428.48,11.7
177865.13,523338.48,10.47
177865.13,523248.48,6.61
177865.13,523158.48,5.21
177865.13,523068.48,5.32
177865.13,522978.48,5.27
177865.13,522888.48,4.94
177865.13,522798.48,4.21
177865.13,522708.48,3.13
177865.13,522618.48,2.23
177865.13,522528.48,1.91
177865.13,522438.48,2.03
177865.13,522348.48,2.05
177865.13,522258.48,1.56
177865.13,522168.48,0.82
177865.13,522078.48,0.51
177865.13,521988.48,0.56
177865.13,521898.48,0.63
177865.13,521808.48,0.64
177865.13,521718.48,0.63
177865.13,521628.48,0.6
177865.13,521538.48,0.56
177865.13,521448.48,0.52
177865.13,521358.48,0.49
177865.13,521268.48,0.45
177865.13,521178.48,0.41
177865.13,521088.48,0.37
177865.13,520998.48,0.33
177865.13,520908.48,0.3
177865.13,520818.48,0.28
177865.13,520728.48,0.31
177865.13,520638.48,0.35
177865.13,520548.48,0.38
177865.13,520458.48,0.37
177865.13,520368.48,0.38
177865.13,520278.48,0.42
177865.13,520188.48,0.45
177865.13,520098.48,0.48
177865.13,520008.48,0.5
177865.13,519918.48,0.47
177865.13,519828.48,0.4
177865.13,519738.48,0.36
177865.13,519648.48,0.4
177865.13,519558.48,0.44
177865.13,519468.48,0.46
177865.13,519378.48,0.53
177865.13,519288.48,0.64
177865.13,519198.48,0.77
177865.13,519108.48,0.95
177865.13,519018.48,1.16
177865.13,518928.48,1.27
177865.13,518838.48,1.35
177865.13,518748.48,1.42
177865.13,518658.48,1.44
177865.13,518568.48,1.45
177865.13,518478.48,1.6
177865.13,518388.48,1.87
177865.13,518298.48,2.13
177865.13,518208.48,2.3
177865.13,518118.48,2.41
177865.13,518028.48,2.46
177865.13,517938.48,2.4
177865.13,517848.48,2.23
177865.13,517758.48,1.96
177865.13,517668.48,1.82
177865.13,517578.48,2.1
177865.13,517488.48,2.57
177865.13,517398.48,3.07
177865.13,517308.48,4.05
177865.13,517218.48,5.93
177865.13,517128.48,8.79
177865.13,517038.48,11.71
177865.13,516948.48,12.07
177865.13,516858.48,8.66
177865.13,516768.48,5.16
177955.13,544488.48,11.3
177955.13,544398.48,11.5
177955.13,544308.48,11.67
177955.13,544218.48,11.95
177955.13,544128.48,12.35
177955.13,544038.48,12.61
177955.13,543948.48,12.71
177955.13,543858.48,12.71
177955.13,543768.48,12.69
177955.13,543678.48,12.62
177955.13,543588.48,12.53
177955.13,543498.48,12.75
177955.13,543408.48,13.24
177955.13,543318.48,13.6
177955.13,543228.48,14.09
177955.13,543138.48,14.96
177955.13,543048.48,15.67
177955.13,542958.48,15.9
177955.13,542868.48,15.94
177955.13,542778.48,16
177955.13,542688.48,16.23
177955.13,542598.48,16.62
177955.13,542508.48,17.54
177955.13,542418.48,18.77
177955.13,542328.48,19.73
177955.13,542238.48,20.8
177955.13,542148.48,22.19
177955.13,542058.48,23.4
177955.13,541968.48,24.31
177955.13,541878.48,25.2
177955.13,541788.48,26.3
177955.13,541698.48,27.46
177955.13,541608.48,28.52
177955.13,541518.48,29.16
177955.13,541428.48,29.54
177955.13,541338.48,30.17
177955.13,541248.48,31.08
177955.13,541158.48,32.34
177955.13,541068.48,33.96
177955.13,540978.48,35.68
177955.13,540888.48,37.35
177955.13,540798.48,38.77
177955.13,540708.48,39.61
177955.13,540618.48,39.62
177955.13,540528.48,38.55
177955.13,540438.48,36.72
177955.13,540348.48,34.28
177955.13,540258.48,31.81
177955.13,540168.48,29.88
177955.13,540078.48,28.67
177955.13,539988.48,27.45
177955.13,539898.48,24.89
177955.13,539808.48,21.64
177955.13,539718.48,19.72
177955.13,539628.48,18.82
177955.13,539538.48,20.89
177955.13,539448.48,28.93
177955.13,539358.48,36.57
177955.13,539268.48,34.53
177955.13,539178.48,26.94
177955.13,539088.48,22.28
177955.13,538998.48,22.66
177955.13,538908.48,24.18
177955.13,538818.48,26.45
177955.13,538728.48,30.12
177955.13,538638.48,31.55
177955.13,538548.48,32.95
177955.13,538458.48,33.8
177955.13,538368.48,30.59
177955.13,538278.48,27.01
177955.13,538188.48,23.86
177955.13,538098.48,21.45
177955.13,538008.48,20.04
177955.13,537918.48,18.66
177955.13,537828.48,17.31
177955.13,537738.48,15.61
177955.13,537648.48,14.29
177955.13,537558.48,14.23
177955.13,537468.48,14.47
177955.13,537378.48,13.94
177955.13,537288.48,12.94
177955.13,537198.48,12.65
177955.13,537108.48,13.75
177955.13,537018.48,14.51
177955.13,536928.48,13.55
177955.13,536838.48,13.35
177955.13,536748.48,15.22
177955.13,536658.48,16.75
177955.13,536568.48,17.1
177955.13,536478.48,18.34
177955.13,536388.48,18.84
177955.13,536298.48,14.74
177955.13,536208.48,10.91
177955.13,536118.48,10.04
177955.13,536028.48,9.38
177955.13,535938.48,8.24
177955.13,535848.48,7.56
177955.13,535758.48,7.03
177955.13,535668.48,6.42
177955.13,535578.48,5.81
177955.13,535488.48,5.66
177955.13,535398.48,5.66
177955.13,535308.48,4.96
177955.13,535218.48,4.45
177955.13,535128.48,4.32
177955.13,535038.48,4.16
177955.13,534948.48,4.21
177955.13,534858.48,4.45
177955.13,534768.48,4.66
177955.13,534678.48,4.44
177955.13,534588.48,3.99
177955.13,534498.48,3.71
177955.13,534408.48,3.63
177955.13,534318.48,3.72
177955.13,534228.48,4.24
177955.13,534138.48,4.87
177955.13,534048.48,4.82
177955.13,533958.48,4.58
177955.13,533868.48,4.71
177955.13,533778.48,4.63
177955.13,533688.48,4.37
177955.13,533598.48,4.19
177955.13,533508.48,3.9
177955.13,533418.48,3.24
177955.13,533328.48,2.68
177955.13,533238.48,2.84
177955.13,533148.48,3.24
177955.13,533058.48,3.38
177955.13,532968.48,3.53
177955.13,532878.48,3.71
177955.13,532788.48,3.89
177955.13,532698.48,4.06
177955.13,532608.48,4.07
177955.13,532518.48,3.9
177955.13,532428.48,4.36
177955.13,532338.48,6.39
177955.13,532248.48,8.87
177955.13,532158.48,9.83
177955.13,532068.48,10.17
177955.13,531978.48,12.06
177955.13,531888.48,14.27
177955.13,531798.48,14.8
177955.13,531708.48,15.11
177955.13,531618.48,17.5
177955.13,531528.48,24.57
177955.13,531438.48,36.61
177955.13,531348.48,46.85
177955.13,531258.48,43.71
177955.13,531168.48,29.36
177955.13,531078.48,18.2
177955.13,530988.48,15.73
